date,up4,dn4,ratio5,ratio10,up25qtr,dn25qtr,up25month,dn25month,up50month,dn50month,up13_34,dn13_34,universe,t2108,sp500,year,freshness_ratio,euphoria_ratio,acceleration_ratio,damage_ratio,monthly_momentum,trend_stage,sp500_fwd5,sp500_fwd10,sp500_fwd20,fresh_decile,euph_zone,accel_zone,mm_zone,damage_zone
2014-12-01,87,615,0.14,0.14,650,696,53,120.0,9,7,1501,915.0,6194,56.52,2053.44,2015,0.08153846153846153,0.16981132075471697,2.309230769230769,1.0707692307692307,0.44166666666666665,EXHAUSTION,0.0033456054230949217,-0.031074684431977584,0.013104838709677269,3,NORMAL (15-25%),STRONG ACCEL (>1.5),NEGATIVE (<1x),EXTREME (>1.0)
2014-12-02,133,74,0.32,0.32,722,667,65,118.0,10,5,1516,873.0,6196,59.7,2066.55,2015,0.09002770083102493,0.15384615384615385,2.0997229916897506,0.9238227146814404,0.5508474576271186,EXHAUSTION,-0.0032566354552273635,-0.04539449807650442,-0.003701821877041489,4,NORMAL (15-25%),STRONG ACCEL (>1.5),NEGATIVE (<1x),HIGH (0.7-1.0)
2014-12-03,162,55,0.51,0.51,797,621,75,80.0,9,4,1544,826.0,6201,62.16,2074.33,2015,0.09410288582183186,0.12,1.9372647427854455,0.7791718946047679,0.9375,EXHAUSTION,-0.02323159767250138,-0.02961920234485349,-0.007776004782267143,4,LOW (<15%),STRONG ACCEL (>1.5),NEGATIVE (<1x),HIGH (0.7-1.0)
2014-12-04,84,165,0.51,0.51,776,643,85,103.0,7,7,1383,885.0,6201,59.21,2071.92,2015,0.1095360824742268,0.08235294117647059,1.782216494845361,0.8286082474226805,0.8252427184466019,EXHAUSTION,-0.017659948260550618,-0.005159465616433101,-0.02477894899416977,5,LOW (<15%),STRONG ACCEL (>1.5),NEGATIVE (<1x),HIGH (0.7-1.0)
2014-12-05,138,104,0.6,0.6,836,639,86,98.0,10,8,1385,868.0,6204,58.61,2075.37,2015,0.10287081339712918,0.11627906976744186,1.6566985645933014,0.7643540669856459,0.8775510204081632,EXHAUSTION,-0.035193724492500134,-0.002274293258551441,-0.03505880879072165,5,LOW (<15%),STRONG ACCEL (>1.5),NEGATIVE (<1x),HIGH (0.7-1.0)
2014-12-08,50,534,0.61,0.42,744,713,74,177.0,8,21,1145,1014.0,6204,54.12,2060.31,2015,0.09946236559139784,0.10810810810810811,1.538978494623656,0.9583333333333334,0.4180790960451977,EXHAUSTION,-0.03430551713091712,0.008848183040416346,-0.016701370182157005,4,LOW (<15%),STRONG ACCEL (>1.5),NEGATIVE (<1x),HIGH (0.7-1.0)
2014-12-09,254,61,0.75,0.56,862,656,82,145.0,12,13,1313,904.0,6205,55.2,2059.82,2015,0.0951276102088167,0.14634146341463414,1.523201856148492,0.7610208816705336,0.5655172413793104,EXHAUSTION,-0.04227553863929867,0.01085046266178602,0.0011263120078452982,4,LOW (<15%),STRONG ACCEL (>1.5),NEGATIVE (<1x),HIGH (0.7-1.0)
2014-12-10,42,364,0.46,0.48,702,726,74,195.0,11,16,910,1085.0,6206,45.06,2026.14,2015,0.10541310541310542,0.14864864864864866,1.2962962962962963,1.0341880341880343,0.37948717948717947,EXHAUSTION,-0.006539528364278846,0.02751043856791724,0.009214565627251758,5,LOW (<15%),ACCELERATING (1.2-1.5),NEGATIVE (<1x),EXTREME (>1.0)
2014-12-11,122,117,0.51,0.51,730,713,67,193.0,11,18,917,1102.0,6247,44.6,2035.33,2015,0.09178082191780822,0.16417910447761194,1.2561643835616438,0.9767123287671233,0.3471502590673575,EXHAUSTION,0.012725209179838215,0.02625618450079359,-0.003473638181523353,4,NORMAL (15-25%),ACCELERATING (1.2-1.5),NEGATIVE (<1x),HIGH (0.7-1.0)
2014-12-12,84,226,0.42,0.5,680,744,70,176.0,10,17,803,1215.0,6254,35.82,2002.33,2015,0.10294117647058823,0.14285714285714285,1.1808823529411765,1.0941176470588236,0.3977272727272727,EXHAUSTION,0.034120249908856204,0.04406866001108711,0.010337956280932703,5,LOW (<15%),SLIGHT ACCEL (1.0-1.2),NEGATIVE (<1x),EXTREME (>1.0)
2014-12-15,62,378,0.49,0.54,632,791,57,221.0,10,26,646,1342.0,6253,29.74,1989.63,2015,0.09018987341772151,0.17543859649122806,1.0221518987341771,1.2515822784810127,0.2579185520361991,EXHAUSTION,0.04468670054231172,0.04559641742434506,0.010876394103426223,4,NORMAL (15-25%),SLIGHT ACCEL (1.0-1.2),NEGATIVE (<1x),EXTREME (>1.0)
2014-12-16,139,152,0.36,0.53,598,798,54,206.0,9,1,619,1360.0,6256,26.86,1972.74,2015,0.0903010033444816,0.16666666666666666,1.0351170568561874,1.334448160535117,0.2621359223300971,EXHAUSTION,0.05547107069355306,0.04367529426077432,0.010102699798250292,4,NORMAL (15-25%),SLIGHT ACCEL (1.0-1.2),NEGATIVE (<1x),EXTREME (>1.0)
2014-12-17,531,35,1.03,0.71,787,687,66,136.0,12,6,879,1110.0,6228,37.48,2012.89,2015,0.08386277001270648,0.18181818181818182,1.1168996188055909,0.8729351969504447,0.4852941176470588,EXHAUSTION,0.03427410340356407,0.02250992354276682,0.003244091828167539,3,NORMAL (15-25%),SLIGHT ACCEL (1.0-1.2),NEGATIVE (<1x),HIGH (0.7-1.0)
